WordID,SentenceNr,WordNr,Target,GPT2_Surprisal,Entropy_x,GPT2_XL_Surprisal,Entropy_y,GPTNEO_1.3B_Surprisal,Entropy
0,1,2,are,4.971798492384296,9.425661,1.7461300146175576,3.2020533,1.7492661436862678,3.1955822
1,1,3,now,7.228032150150528,6.9936657,7.074483951762929,7.143682,7.087832823369629,6.641812
2,1,4,rumblings,12.978483185812426,8.747832,13.245201472938197,7.7882857,14.090913276065413,7.8305454
3,1,5,that,0.9014202474741552,2.9062774,0.9645362024175328,3.0739582,1.6146680018804764,3.5433872
4,1,6,Apple,7.088790534619943,9.667637,6.349663002713876,8.670096,6.691864038696368,8.396479
5,1,7,might,3.9373490528876,4.2209516,4.007856798537946,3.7599537,4.051689363654387,4.3615613
6,1,8,soon,4.90557706357231,6.329519,6.235618261051351,5.8742085,5.581560184349646,6.00119
7,1,9,invade,15.123242233422182,6.5036135,12.449487577670329,6.480708,13.216781819980673,6.591475
8,1,10,the,1.3350377147873171,6.147093,0.6061478017359991,3.817654,0.6676812110212448,3.9316556
9,1,11,smart,9.60210240705325,9.460868,5.632669906800143,8.635935,6.989732625697762,8.743198
10,1,12,watch,5.969518582770112,2.6420045,4.950352662216022,1.7851735,5.471033626990459,3.2633634
11,1,13,space,5.197712714697126,1.6303259,3.201617097258155,2.0124426,3.478007259184866,3.3003912
12,1,14,though,13.2712093291116,3.6598632,12.119919352771516,3.0063841,12.607711929225571,3.1149864
13,1,15,the,3.9993332053955286,6.1879964,4.982226828567443,3.7862196,3.605741298901404,5.8960443
14,1,16,company,2.430589138556264,8.7094345,1.929816967762577,7.787894,2.282930364539018,8.138538
15,1,17,is,2.6385202630295925,4.6902366,2.6728817351834366,4.098408,3.348213389140498,4.363133
16,1,18,maintaining,11.248000822911068,7.341921,10.560632351422294,5.831268,9.76353654871132,6.5093527
17,1,19,its,3.5382949993652666,4.5131755,2.8192183655016154,3.1371422,2.2336128357628997,3.6497366
18,1,20,customary,13.570965960476972,8.670687,13.327131752667844,6.0797977,12.073515418506927,8.054619
19,1,21,silence,3.763337295785421,9.141239,0.5800160410390776,3.4330103,0.949757582275702,4.775347
20,1,22,The,15.99331968973566,3.588066,16.024858044742224,2.576974,15.555883292631282,2.3323195
21,1,23,watch,7.536402665055975,9.684377,6.017767275934199,8.146772,5.091052582907613,8.4414015
22,1,24,doesn't,8.337924937015705,6.6661334,8.306459763757742,6.159593,8.228834678252925,6.437519
